Episode,Reward,Length,Epsilon,Termination,Loss
77,-145.33750795212606,218,0.01999089815867558,crash,0.7770423875489366
78,-68.22781832388175,1000,0.01999089815867558,out-of-view,0.7453953887373209
79,-144.0058180587746,338,0.01999089815867558,crash,0.6925908723879143
80,-120.37920415538252,467,0.01999089815867558,crash,0.7726272666224576
81,-131.0416028933791,159,0.01999089815867558,crash,0.7543304075235091
82,-15.83685836924954,127,0.01999089815867558,crash,0.7547896790692187
83,-167.64270327305036,529,0.01999089815867558,crash,0.7479586773367144
84,-152.9754112259401,873,0.01999089815867558,crash,0.720919926773505
85,-189.2624920809755,681,0.01999089815867558,crash,0.7288445689648434
86,-30.514434895222955,1000,0.01999089815867558,out-of-view,0.7238833003640175
87,-193.89119508090698,485,0.01999089815867558,crash,0.707413124331494
88,-123.86838966227074,170,0.01999089815867558,crash,0.7124756260829813
89,-233.50805725315334,564,0.01999089815867558,crash,0.7430445316729816
90,-125.79072922908145,179,0.01999089815867558,crash,0.6987063355286028
91,-149.46369795562887,196,0.01999089815867558,crash,0.7348677143454552
92,-4.126918982861491,1000,0.01999089815867558,out-of-view,0.7254849379509687
93,-131.05832070917614,162,0.01999089815867558,crash,0.670576153162085
94,-359.5496314419973,749,0.01999089815867558,crash,0.712945878028233
95,-1.2025791615560515,1000,0.01999089815867558,out-of-view,0.7028730624169112
96,-228.96339405231873,819,0.01999089815867558,crash,0.7205164306256943
97,-34.090728533320146,1000,0.01999089815867558,out-of-view,0.7347330305725336
98,-53.96259169304076,1000,0.01999089815867558,out-of-view,0.6983939494937659
99,-122.83946698052947,207,0.01999089815867558,crash,0.6752815358880637
0,-579.2112750196916,97,0.952645784553907,crash,3.730924685796102
1,-79.15121247035913,114,0.8998507310564098,crash,3.0059460662958917
2,-429.98568961112494,109,0.8521096925306499,crash,2.2598198460876393
3,-537.6318776715566,112,0.8056917788340476,crash,2.359170975429671
4,-397.7042872718749,103,0.7652391364783871,crash,1.8399221630929743
5,-230.26765563733565,109,0.7246398350218617,crash,1.6462690901318822
6,-97.03601565849951,90,0.6927460614810248,crash,1.5708822184138829
7,-7.008220365251773,222,0.6199480840524855,crash,1.4392259072613072
8,-249.9769861184541,115,0.5852981405301875,crash,1.4564299782981043
9,-329.44350411178954,157,0.5410987138867258,crash,1.4448723164713306
10,-78.13115670128873,115,0.5108557945867671,crash,1.4895502873089002
11,-197.49585850937254,115,0.48230320302980756,crash,1.4697267198044321
12,-89.5242651650135,287,0.4178143024262745,crash,1.3396751912836413
13,-145.98614523489323,176,0.38260957158734843,crash,1.269653836603869
14,-51.57887824466043,1000,0.2320354199539298,out-of-view,1.2967071056365966
15,-195.40472070739776,677,0.16538984415964691,crash,1.3730567751818252
16,-73.11724238971314,1000,0.10030146863938942,out-of-view,1.2851519438922405
17,-291.5479093829716,931,0.06296404968040635,crash,1.1628573362412438
18,-136.83525403428166,395,0.051677089081030324,crash,1.272696549454822
19,-134.42969694008337,297,0.0445439968803588,crash,1.1161533150608691
20,-253.99069733571034,434,0.03585285232301454,crash,1.2261680889926199
21,-114.84899885492196,420,0.029060231055180612,crash,1.2752816367007438
22,194.13457457118056,653,0.02096362843571829,sleep,1.3129803180968413
23,-71.31927079472695,1000,0.01999089815867558,out-of-view,1.296855602800846
24,-137.73858211948874,467,0.01999089815867558,crash,1.2659878020495878
25,-127.25588627999667,325,0.01999089815867558,crash,1.2059843508096841
26,-79.15337504123396,1000,0.01999089815867558,out-of-view,1.2413086378574372
27,-61.200867084492806,244,0.01999089815867558,crash,1.39438947448965
28,-11.416112778527841,1000,0.01999089815867558,out-of-view,1.2692634211480618
29,-115.77737606726795,713,0.01999089815867558,crash,1.184971625139469
30,-29.655472735895287,1000,0.01999089815867558,out-of-view,1.0959418032467365
31,-32.12140340955669,83,0.01999089815867558,crash,1.1030359896550697
32,-107.182618154156,105,0.01999089815867558,crash,1.2178524675823392
33,-57.383741743263016,71,0.01999089815867558,crash,0.9320962554971937
34,-64.31237653951821,119,0.01999089815867558,crash,1.132066112105586
35,-68.39528970153692,78,0.01999089815867558,crash,1.2995860775311787
36,-29.771719984377103,1000,0.01999089815867558,out-of-view,1.0601779137551786
37,-9.999743902543514,1000,0.01999089815867558,out-of-view,1.0611913062036038
38,-235.69580540186587,467,0.01999089815867558,crash,1.0783316364763125
39,-115.75090247839202,224,0.01999089815867558,crash,1.0539267448974508
40,-57.4680921766732,141,0.01999089815867558,crash,1.338186374792816
41,-81.85225060162773,1000,0.01999089815867558,out-of-view,1.1153243919909
42,9.382163092761042,1000,0.01999089815867558,out-of-view,1.129817661345005
43,-119.06824977575117,1000,0.01999089815867558,out-of-view,1.0855309107899667
44,-55.30882397400175,1000,0.01999089815867558,out-of-view,1.0567760362327099
45,-83.16565106083743,1000,0.01999089815867558,out-of-view,1.0169242156744003
46,-240.42333329080034,409,0.01999089815867558,crash,0.9968515078566768
47,-79.60409605364002,1000,0.01999089815867558,out-of-view,0.9954469522237778
48,-74.27871238785198,1000,0.01999089815867558,out-of-view,0.986228981167078
49,-47.213070920955644,135,0.01999089815867558,crash,1.013852549923791
50,-121.50607311375178,143,0.01999089815867558,crash,1.0779062786719182
51,-73.1863184557993,1000,0.01999089815867558,out-of-view,0.9685991097092629
52,-58.915633690133184,1000,0.01999089815867558,out-of-view,0.9627305794656277
53,-36.89412298923742,1000,0.01999089815867558,out-of-view,0.9334336411654949
54,-144.1333550770513,174,0.01999089815867558,crash,0.9436265493946514
55,-71.9453345390829,163,0.01999089815867558,crash,0.9023069267623995
56,-35.46635868478776,1000,0.01999089815867558,out-of-view,0.9432339727580548
57,-11.260141249036508,187,0.01999089815867558,crash,0.9218009007487068
58,-81.30726350476087,356,0.01999089815867558,crash,0.8377630309609885
59,-121.60200935552393,1000,0.01999089815867558,out-of-view,0.9369108527898788
60,-441.1162808057792,919,0.01999089815867558,crash,0.9815542811408267
61,-154.87665020964482,122,0.01999089815867558,crash,0.9688555822997796
62,-202.52976369856898,328,0.01999089815867558,crash,1.0036490989349238
63,-81.72439321579155,125,0.01999089815867558,crash,0.985627069234848
64,-28.157452330843157,159,0.01999089815867558,crash,0.9436515824599836
65,4.454625559149676,166,0.01999089815867558,crash,0.9915348961051688
66,-28.623002836398612,140,0.01999089815867558,crash,0.9876483861889158
67,-55.282803990676584,147,0.01999089815867558,crash,0.9647248265694599
68,-67.55694692461478,1000,0.01999089815867558,out-of-view,0.9977592144012452
69,-104.11941235498803,1000,0.01999089815867558,out-of-view,0.95588953769207
70,-32.65865220133723,1000,0.01999089815867558,out-of-view,0.9482374253571033
71,-304.3814334778804,595,0.01999089815867558,crash,0.9229758904761627
72,-23.847786648960962,1000,0.01999089815867558,out-of-view,0.9911679784655572
73,18.049225158458437,1000,0.01999089815867558,out-of-view,0.9947689969837665
74,-79.4418522648686,1000,0.01999089815867558,out-of-view,0.9830202829241753
75,-71.40111282169316,1000,0.01999089815867558,out-of-view,0.9513744129538536
76,-72.8860052094058,1000,0.01999089815867558,out-of-view,0.9668223686516285
77,-198.0888166500052,322,0.01999089815867558,crash,1.026612936062102
78,-60.45011850624273,1000,0.01999089815867558,out-of-view,1.0331906163096427
79,-54.2229740541656,1000,0.01999089815867558,out-of-view,1.068202998071909
80,-24.79335863263695,1000,0.01999089815867558,out-of-view,0.979740303337574
81,-89.84184368941078,1000,0.01999089815867558,out-of-view,1.03487399405241
82,-103.6902137853516,1000,0.01999089815867558,out-of-view,0.988108963817358
83,-48.337392476283775,1000,0.01999089815867558,out-of-view,1.0399312762618065
84,-59.56275810279889,1000,0.01999089815867558,out-of-view,0.9705581237673759
85,-2.2355678386595463,1000,0.01999089815867558,out-of-view,0.9539297831058502
86,-114.93098292874032,1000,0.01999089815867558,out-of-view,1.0007116650342942
87,-54.16024036595945,1000,0.01999089815867558,out-of-view,0.9898913465440273
88,-77.31167275847577,1000,0.01999089815867558,out-of-view,1.0160854471325875
89,-13.534796601065997,1000,0.01999089815867558,out-of-view,1.0317799787819386
90,-78.70180935602758,1000,0.01999089815867558,out-of-view,0.9919698635339737
91,-60.2925239223618,1000,0.01999089815867558,out-of-view,0.9357245864570141
92,-39.75490833417511,1000,0.01999089815867558,out-of-view,0.9455887569487095
