Episode,Reward,Length,Epsilon
320,-306.42702399269547,378,0.2000824143909432
321,-273.802860946749,137,0.19908200231898848
322,-192.1804973163766,196,0.19808659230739353
323,-55.28063416155204,111,0.19709615934585656
324,-192.07892266512474,84,0.19611067854912728
325,-92.56434434785878,119,0.19513012515638165
326,-193.37023846173992,256,0.19415447453059972
327,-266.34360599810327,271,0.19318370215794672
328,-178.63840324819364,177,0.192217783647157
329,-137.46417441825128,177,0.1912566947289212
330,0.946127128155922,147,0.1903004112552766
331,-89.65255805304184,118,0.18934890919900021
332,-78.816325066178,422,0.18840216465300522
333,-258.10192248165225,734,0.18746015382974018
334,-288.63220311062827,729,0.1865228530605915
335,-222.31900203750445,230,0.18559023879528855
336,17.004800778967223,235,0.1846622876013121
337,-144.77047846125996,535,0.18373897616330553
338,-162.59422362194016,306,0.182820281282489
339,-34.666457419122196,103,0.18190617987607657
340,-48.06877505489095,281,0.18099664897669618
341,-261.3477646101285,633,0.1800916657318127
342,-247.15575435540924,451,0.17919120740315364
343,-100.3874790557359,241,0.17829525136613786
344,-182.18151589689893,139,0.17740377510930716
345,-173.4217916526837,116,0.17651675623376062
346,-276.30693754394343,431,0.1756341724525918
347,-349.2673436614417,597,0.17475600159032884
348,-113.77098750968645,109,0.17388222158237718
349,-295.33090437734336,533,0.1730128104744653
350,-143.92592725084972,106,0.17214774642209296
351,-185.34504205943148,266,0.1712870076899825
352,-261.47106623629855,353,0.17043057265153258
353,-252.89808900006895,224,0.16957841978827493
354,-233.27821084952868,716,0.16873052768933355
355,-218.91675534114688,429,0.1678868750508869
356,-210.82727163819305,264,0.16704744067563246
357,-210.80685909340255,318,0.1662122034722543
358,-239.0274545644044,839,0.16538114245489302
359,-15.804550052373628,125,0.16455423674261854
360,-251.091272182142,384,0.16373146555890544
361,-156.0160112511332,339,0.16291280823111093
362,-200.21744345539022,116,0.16209824418995536
363,-198.013827085817,126,0.16128775296900558
364,-165.44176396657298,434,0.16048131420416054
365,-107.19410433762057,404,0.15967890763313974
366,-228.0975196133186,271,0.15888051309497406
367,-115.30935380653423,96,0.1580861105294992
368,-162.97453702169315,460,0.1572956799768517
369,10.274355913473016,116,0.15650920157696743
370,-128.64289218060443,160,0.1557266555690826
371,-337.0178468255998,229,0.1549480222912372
372,-285.04356437897854,589,0.15417328217978102
373,-11.3616310352419,111,0.1534024157688821
374,-120.9299612199222,183,0.1526354036900377
375,-130.1551819289426,189,0.1518722266715875
376,-47.84195661462708,163,0.15111286553822956
377,-81.1774613787934,1000,0.15035730121053842
378,-109.99257140004603,1000,0.14960551470448571
379,-391.22856256901844,244,0.14885748713096328
380,-87.3787024090236,135,0.14811319969530845
381,-222.33774050300235,266,0.1473726336968319
382,-263.55016764072116,420,0.14663577052834775
383,-36.787231701378516,87,0.14590259167570602
384,-227.4720500944296,108,0.1451730787173275
385,14.295476072064858,137,0.14444721332374086
386,-305.86357547197457,902,0.14372497725712216
387,-184.38454534622005,92,0.14300635237083656
388,-304.5976932863004,222,0.14229132060898236
389,-144.6372466793211,600,0.14157986400593744
390,-16.949394005027443,163,0.14087196468590776
391,-73.76011621385993,151,0.14016760486247823
392,-249.21718433640618,343,0.13946676683816583
393,-21.15668368587832,146,0.138769433003975
394,-140.77417634086316,142,0.13807558583895513
395,-81.59359806698887,114,0.13738520790976036
396,-164.6916069002001,163,0.13669828187021155
397,-249.2840632461023,503,0.13601479046086049
398,-203.54867909477508,135,0.1353347165085562
399,-177.45057891224093,533,0.1346580429260134
400,-197.28661689928362,195,0.13398475271138335
401,-82.6415696400233,604,0.13331482894782642
402,-178.813392893878,576,0.13264825480308728
403,-294.39470562496234,646,0.13198501352907185
404,0.7176667585703171,152,0.1313250884614265
405,-360.6589556104576,356,0.13066846301911936
406,-144.6247407941922,342,0.13001512070402377
407,-177.57988114800526,149,0.12936504510050365
408,-64.03700567350423,191,0.12871821987500112
